T,M,Time
1,1,0.218032
1,10,17.295488
1,20,23.016617
1,30,31.331989
1,40,42.568546
1,50,57.413136
1,100,60.158362
10,1,1.558208
10,10,7.026540
10,20,6.949994
10,30,6.958233
10,40,6.954981
10,50,6.954151
10,100,6.949527
20,1,0.214971
20,10,3.540494
20,20,3.573938
20,30,3.605403
20,40,3.569140
20,50,3.495920
20,100,3.535168
