T,M,Time
1,1,0.002060
1,10,0.024674
1,20,0.018474
1,30,0.017649
1,40,0.022502
1,50,0.066176
1,100,0.055293
10,1,0.093681
10,10,0.089970
10,20,0.228535
10,30,0.286630
10,40,0.412179
10,50,0.009310
10,100,0.014391
20,1,0.090238
20,10,0.142046
20,20,0.093143
20,30,0.009068
20,40,0.133590
20,50,0.085822
20,100,0.187599
